database,chunk_size,overlap,clean,embedding,chunks_processed,time_to_process,used_memory_mb,query_time
redis,100,0,True,nomic-embed-text,415,10.42969799041748,6.9394378662109375,9.210070133209229
redis,100,0,False,nomic-embed-text,423,10.188590049743652,7.0044403076171875,9.450322151184082
redis,100,0,True,mxbai-embed-large,415,11.470969915390015,3.6448822021484375,11.935678958892822
redis,100,0,False,mxbai-embed-large,423,15.373759031295776,3.713348388671875,11.927753925323486
redis,100,0,True,bge-m3,415,15.408778190612793,3.6617889404296875,11.489006996154785
redis,100,0,False,bge-m3,423,15.34208607673645,3.713592529296875,10.42988634109497
redis,100,50,True,nomic-embed-text,637,21.63651704788208,8.045181274414062,12.117027044296265
redis,100,50,False,nomic-embed-text,669,25.03839111328125,8.221397399902344,12.145037174224854
redis,100,50,True,mxbai-embed-large,637,22.995177030563354,4.7752227783203125,11.896575927734375
redis,100,50,False,mxbai-embed-large,669,24.021804809570312,4.94415283203125,10.918168783187866
redis,100,50,True,bge-m3,637,22.96661400794983,4.7754974365234375,10.984898805618286
redis,100,50,False,bge-m3,669,24.922327041625977,4.9449310302734375,11.432292222976685
redis,300,0,True,nomic-embed-text,303,10.009164094924927,6.497886657714844,11.949413061141968
redis,300,0,False,nomic-embed-text,305,9.989721059799194,6.555839538574219,10.916146039962769
redis,300,0,True,mxbai-embed-large,303,10.89239501953125,3.1752166748046875,10.969611883163452
redis,300,0,False,mxbai-embed-large,305,12.237750768661499,3.200347900390625,10.586094856262207
redis,300,0,True,bge-m3,303,12.409918785095215,3.175201416015625,10.711844205856323
redis,300,0,False,bge-m3,305,12.580214023590088,3.2003326416015625,10.031896114349365
redis,300,50,True,nomic-embed-text,315,9.521903991699219,6.5988311767578125,10.563584089279175
redis,300,50,False,nomic-embed-text,317,9.426484107971191,6.6405487060546875,10.723799228668213
redis,300,50,True,mxbai-embed-large,315,11.885242223739624,3.2477264404296875,10.010441064834595
redis,300,50,False,mxbai-embed-large,317,12.504714012145996,3.2740478515625,10.312461137771606
redis,300,50,True,bge-m3,315,12.272435903549194,3.248138427734375,10.335669994354248
redis,300,50,False,bge-m3,317,12.690106868743896,3.27423095703125,9.972193956375122
redis,300,100,True,nomic-embed-text,329,9.70684814453125,6.703697204589844,10.743289232254028
redis,300,100,False,nomic-embed-text,332,10.333718061447144,6.771400451660156,10.66262698173523
redis,300,100,True,mxbai-embed-large,329,12.598827838897705,3.335418701171875,9.663073062896729
redis,300,100,False,mxbai-embed-large,332,12.348616123199463,3.3687057495117188,9.400715827941895
redis,300,100,True,bge-m3,329,12.551929712295532,3.3353424072265625,10.396384954452515
redis,300,100,False,bge-m3,332,13.436228036880493,3.3688735961914062,9.827070951461792
redis,500,0,True,nomic-embed-text,290,9.096808195114136,6.4521026611328125,11.331310033798218
redis,500,0,False,nomic-embed-text,290,9.451122999191284,6.501983642578125,11.236778974533081
redis,500,0,True,mxbai-embed-large,290,10.916087627410889,3.1203231811523438,10.61487102508545
redis,500,0,False,mxbai-embed-large,290,11.773545980453491,3.1366500854492188,10.642819166183472
redis,500,0,True,bge-m3,290,10.691361904144287,3.1202316284179688,9.765374898910522
redis,500,0,False,bge-m3,290,11.957569122314453,3.1364669799804688,10.90988802909851
redis,500,50,True,nomic-embed-text,292,9.408194065093994,6.49005126953125,11.32999300956726
redis,500,50,False,nomic-embed-text,293,9.351083993911743,6.527435302734375,11.441465139389038
redis,500,50,True,mxbai-embed-large,292,11.541368007659912,3.1358718872070312,11.061383724212646
redis,500,50,False,mxbai-embed-large,293,11.489138126373291,3.1570892333984375,10.91271710395813
redis,500,50,True,bge-m3,292,11.769873142242432,3.1361007690429688,9.85299015045166
redis,500,50,False,bge-m3,293,10.927544116973877,3.1741409301757812,9.259482860565186
redis,500,100,True,nomic-embed-text,296,9.351242065429688,6.539024353027344,11.489413022994995
redis,500,100,False,nomic-embed-text,296,9.424975872039795,6.557464599609375,10.443423986434937
redis,500,100,True,mxbai-embed-large,296,10.745123147964478,3.1618118286132812,10.479584217071533
redis,500,100,False,mxbai-embed-large,296,12.02988576889038,3.1793899536132812,10.228909254074097
redis,500,100,True,bge-m3,296,11.703433990478516,3.1790847778320312,9.115227699279785
redis,500,100,False,bge-m3,296,10.19747281074524,3.1966934204101562,9.723072052001953
redis,1000,0,True,nomic-embed-text,278,9.009113073348999,6.44207763671875,11.542605876922607
redis,1000,0,False,nomic-embed-text,278,9.385557651519775,6.476226806640625,11.553750038146973
redis,1000,0,True,mxbai-embed-large,278,10.710949897766113,3.0679092407226562,9.82607102394104
redis,1000,0,False,mxbai-embed-large,278,8.88294005393982,3.0849990844726562,8.20937204360962
redis,1000,0,True,bge-m3,278,9.892726182937622,3.0683059692382812,9.650849103927612
redis,1000,0,False,bge-m3,278,10.980296850204468,3.0845260620117188,11.320245742797852
redis,1000,50,True,nomic-embed-text,278,9.155811071395874,6.442192077636719,11.469474077224731
redis,1000,50,False,nomic-embed-text,278,9.490403890609741,6.458793640136719,10.10962200164795
redis,1000,50,True,mxbai-embed-large,278,8.747895002365112,3.0677566528320312,9.014011859893799
redis,1000,50,False,mxbai-embed-large,278,10.444975852966309,3.0845718383789062,10.151033878326416
redis,1000,50,True,bge-m3,278,11.495846033096313,3.0683212280273438,8.415786981582642
redis,1000,50,False,bge-m3,278,9.79373574256897,3.1016693115234375,8.31370997428894
redis,1000,100,True,nomic-embed-text,279,6.870591163635254,6.428955078125,8.906886100769043
redis,1000,100,False,nomic-embed-text,280,7.82497501373291,6.4838409423828125,8.689420223236084
redis,1000,100,True,mxbai-embed-large,279,8.262394905090332,3.0895767211914062,8.104401350021362
redis,1000,100,False,mxbai-embed-large,280,8.152525901794434,3.11016845703125,8.935911893844604
redis,1000,100,True,bge-m3,279,9.297887086868286,3.072296142578125,8.10140585899353
redis,1000,100,False,bge-m3,280,9.488990068435669,3.1103973388671875,8.04292607307434
chroma,100,0,True,bge-m3,415,21.31628394126892,1.62109375,9.005946159362793
chroma,100,0,False,bge-m3,423,21.235394954681396,1.65234375,9.917824029922485
chroma,100,50,True,bge-m3,637,28.623756885528564,2.48828125,8.214905977249146
chroma,100,50,False,bge-m3,669,24.842292308807373,2.61328125,8.46259617805481
chroma,300,0,True,bge-m3,303,16.75300884246826,1.18359375,8.267603874206543
chroma,300,0,False,bge-m3,305,18.30267310142517,1.19140625,7.3383948802948
chroma,300,50,True,bge-m3,315,16.421250820159912,1.23046875,8.183237314224243
chroma,300,50,False,bge-m3,317,17.753298044204712,1.23828125,9.052741765975952
chroma,300,100,True,bge-m3,329,17.118149995803833,1.28515625,8.75147294998169
chroma,300,100,False,bge-m3,332,18.80416488647461,1.296875,10.031487941741943
chroma,500,0,True,bge-m3,290,17.660602807998657,1.1328125,10.323925018310547
chroma,500,0,False,bge-m3,290,18.460202932357788,1.1328125,10.483527898788452
chroma,500,50,True,bge-m3,292,17.425177097320557,1.140625,10.283638000488281
chroma,500,50,False,bge-m3,293,18.571820974349976,1.14453125,10.556534051895142
chroma,500,100,True,bge-m3,296,17.926584005355835,1.15625,10.241444826126099
chroma,500,100,False,bge-m3,296,18.970818042755127,1.15625,10.453381299972534
chroma,1000,0,True,bge-m3,278,17.395752906799316,1.0859375,10.3718421459198
chroma,1000,0,False,bge-m3,278,18.051902294158936,1.0859375,9.382983207702637
chroma,1000,50,True,bge-m3,278,17.455912113189697,1.0859375,8.329272031784058
chroma,1000,50,False,bge-m3,278,16.824982166290283,1.0859375,7.7809929847717285
chroma,1000,100,True,bge-m3,279,16.007310152053833,1.08984375,8.586985111236572
chroma,1000,100,False,bge-m3,280,16.621850728988647,1.09375,8.963877201080322
chroma,100,0,True,nomic-embed-text,415,16.761903047561646,1.2158203125,7.619390249252319
chroma,100,0,False,nomic-embed-text,423,14.778578042984009,1.2392578125,6.63244891166687
chroma,100,0,True,mxbai-embed-large,415,18.419973850250244,0.810546875,7.702882766723633
chroma,100,0,False,mxbai-embed-large,423,18.417010068893433,0.826171875,7.7769389152526855
chroma,100,50,True,nomic-embed-text,637,19.517961263656616,1.8662109375,7.126647710800171
chroma,100,50,False,nomic-embed-text,669,21.869698762893677,1.9599609375,7.537998199462891
chroma,100,50,True,mxbai-embed-large,637,26.415342092514038,1.244140625,9.591792106628418
chroma,100,50,False,mxbai-embed-large,669,28.99921202659607,1.306640625,9.908812046051025
chroma,300,0,True,nomic-embed-text,303,14.494922876358032,0.8876953125,8.42068362236023
chroma,300,0,False,nomic-embed-text,305,14.848751306533813,0.8935546875,8.4634370803833
chroma,300,0,True,mxbai-embed-large,303,17.919517993927002,0.591796875,9.859621047973633
chroma,300,0,False,mxbai-embed-large,305,18.644294023513794,0.595703125,9.709803819656372
chroma,300,50,True,nomic-embed-text,315,12.929385900497437,0.9228515625,6.571802139282227
chroma,300,50,False,nomic-embed-text,317,13.190569162368774,0.9287109375,6.918438196182251
chroma,300,50,True,mxbai-embed-large,315,18.343350172042847,0.615234375,10.476408958435059
chroma,300,50,False,mxbai-embed-large,317,20.00598120689392,0.619140625,10.052527904510498
chroma,300,100,True,nomic-embed-text,329,15.93412184715271,0.9638671875,8.98947787284851
chroma,300,100,False,nomic-embed-text,332,16.258764028549194,0.97265625,7.580482721328735
chroma,300,100,True,mxbai-embed-large,329,17.813562870025635,0.642578125,10.317189931869507
chroma,300,100,False,mxbai-embed-large,332,19.267104148864746,0.6484375,7.55351710319519
chroma,500,0,True,nomic-embed-text,290,11.775932788848877,0.849609375,7.203985929489136
chroma,500,0,False,nomic-embed-text,290,12.533935070037842,0.849609375,7.661464214324951
chroma,500,0,True,mxbai-embed-large,290,16.46061372756958,0.56640625,9.725069046020508
chroma,500,0,False,mxbai-embed-large,290,17.71963596343994,0.56640625,10.16707706451416
chroma,500,50,True,nomic-embed-text,292,13.441671133041382,0.85546875,7.39565896987915
chroma,500,50,False,nomic-embed-text,293,11.38803482055664,0.8583984375,5.85536003112793
chroma,500,50,True,mxbai-embed-large,292,15.382187128067017,0.5703125,7.863710165023804
chroma,500,50,False,mxbai-embed-large,293,15.794838190078735,0.572265625,7.665609836578369
chroma,500,100,True,nomic-embed-text,296,11.910701036453247,0.8671875,7.7622480392456055
chroma,500,100,False,nomic-embed-text,296,12.079988956451416,0.8671875,7.0992209911346436
chroma,500,100,True,mxbai-embed-large,296,17.307463884353638,0.578125,10.299643993377686
chroma,500,100,False,mxbai-embed-large,296,16.246453046798706,0.578125,8.821919202804565
chroma,1000,0,True,nomic-embed-text,278,12.343737840652466,0.814453125,7.153979778289795
chroma,1000,0,False,nomic-embed-text,278,12.792093276977539,0.814453125,6.628716945648193
chroma,1000,0,True,mxbai-embed-large,278,15.098090887069702,0.54296875,8.71045207977295
chroma,1000,0,False,mxbai-embed-large,278,16.06719994544983,0.54296875,7.73749303817749
chroma,1000,50,True,nomic-embed-text,278,12.602670907974243,0.814453125,8.809148788452148
chroma,1000,50,False,nomic-embed-text,278,13.716155052185059,0.814453125,8.60571026802063
chroma,1000,50,True,mxbai-embed-large,278,15.448904037475586,0.54296875,7.523483991622925
chroma,1000,50,False,mxbai-embed-large,278,15.17366886138916,0.54296875,7.785008907318115
chroma,1000,100,True,nomic-embed-text,279,12.159725189208984,0.8173828125,7.100749969482422
chroma,1000,100,False,nomic-embed-text,280,12.711884021759033,0.8203125,6.933785915374756
chroma,1000,100,True,mxbai-embed-large,279,15.207256078720093,0.544921875,8.032176971435547
chroma,1000,100,False,mxbai-embed-large,280,16.122312307357788,0.546875,8.64405083656311
